POST	api/callbacks/voice/albs-follow-through	voice.albs-follow-through	App\Http\Controllers\Voice\AlbsFollowThroughController@handle	api,App\Http\Middleware\VerifyVoiceWebhookAuth
POST	api/callbacks/voice/ring-group-callback	voice.ring-group-callback	App\Http\Controllers\Voice\VoiceRoutingController@handleRingGroupCallback	api,App\Http\Middleware\VerifyVoiceWebhookAuth
GET|HEAD	api/health	health	Closure	api
GET|HEAD	api/sanctum/csrf-cookie	sanctum.csrf-cookie	Closure	api,web,Illuminate\Routing\Middleware\ThrottleRequests:60,1
GET|HEAD	api/storage/health	storage.health	Closure	api,Illuminate\Auth\Middleware\Authenticate:sanctum
GET|HEAD	api/storage/recordings/{path}	storage.recordings.serve	App\Http\Controllers\Api\RecordingsController@serveMinioFile	api
GET|HEAD	api/v1/ai-assistant-load-balancers	ai-assistant-load-balancers.index	App\Http\Controllers\Api\AiAssistantLoadBalancerController@index	api,Illuminate\Auth\Middleware\Authenticate:sanctum,App\Http\Middleware\EnsureTenantScope,App\Http\Middleware\RateLimitPerOrganization:api
POST	api/v1/ai-assistant-load-balancers	ai-assistant-load-balancers.store	App\Http\Controllers\Api\AiAssistantLoadBalancerController@store	api,Illuminate\Auth\Middleware\Authenticate:sanctum,App\Http\Middleware\EnsureTenantScope,App\Http\Middleware\RateLimitPerOrganization:api
GET|HEAD	api/v1/ai-assistant-load-balancers/{ai_assistant_load_balancer}	ai-assistant-load-balancers.show	App\Http\Controllers\Api\AiAssistantLoadBalancerController@show	api,Illuminate\Auth\Middleware\Authenticate:sanctum,App\Http\Middleware\EnsureTenantScope,App\Http\Middleware\RateLimitPerOrganization:api
PUT|PATCH	api/v1/ai-assistant-load-balancers/{ai_assistant_load_balancer}	ai-assistant-load-balancers.update	App\Http\Controllers\Api\AiAssistantLoadBalancerController@update	api,Illuminate\Auth\Middleware\Authenticate:sanctum,App\Http\Middleware\EnsureTenantScope,App\Http\Middleware\RateLimitPerOrganization:api
DELETE	api/v1/ai-assistant-load-balancers/{ai_assistant_load_balancer}	ai-assistant-load-balancers.destroy	App\Http\Controllers\Api\AiAssistantLoadBalancerController@destroy	api,Illuminate\Auth\Middleware\Authenticate:sanctum,App\Http\Middleware\EnsureTenantScope,App\Http\Middleware\RateLimitPerOrganization:api
GET|HEAD	api/v1/ai-assistant/providers	ai-assistant.providers.index	App\Http\Controllers\Api\AiAssistantProviderController@index	api,Illuminate\Auth\Middleware\Authenticate:sanctum,App\Http\Middleware\EnsureTenantScope,App\Http\Middleware\RateLimitPerOrganization:api
GET|HEAD	api/v1/ai-assistant/providers/protocol/{protocol}	ai-assistant.providers.by-protocol	App\Http\Controllers\Api\AiAssistantProviderController@byProtocol	api,Illuminate\Auth\Middleware\Authenticate:sanctum,App\Http\Middleware\EnsureTenantScope,App\Http\Middleware\RateLimitPerOrganization:api
GET|HEAD	api/v1/ai-assistant/providers/{provider}	ai-assistant.providers.show	App\Http\Controllers\Api\AiAssistantProviderController@show	api,Illuminate\Auth\Middleware\Authenticate:sanctum,App\Http\Middleware\EnsureTenantScope,App\Http\Middleware\RateLimitPerOrganization:api
GET|HEAD	api/v1/ai-assistants	ai-assistants.index	App\Http\Controllers\Api\AiAssistantController@index	api,Illuminate\Auth\Middleware\Authenticate:sanctum,App\Http\Middleware\EnsureTenantScope,App\Http\Middleware\RateLimitPerOrganization:api
POST	api/v1/ai-assistants	ai-assistants.store	App\Http\Controllers\Api\AiAssistantController@store	api,Illuminate\Auth\Middleware\Authenticate:sanctum,App\Http\Middleware\EnsureTenantScope,App\Http\Middleware\RateLimitPerOrganization:api
GET|HEAD	api/v1/ai-assistants/{ai_assistant}	ai-assistants.show	App\Http\Controllers\Api\AiAssistantController@show	api,Illuminate\Auth\Middleware\Authenticate:sanctum,App\Http\Middleware\EnsureTenantScope,App\Http\Middleware\RateLimitPerOrganization:api
PUT|PATCH	api/v1/ai-assistants/{ai_assistant}	ai-assistants.update	App\Http\Controllers\Api\AiAssistantController@update	api,Illuminate\Auth\Middleware\Authenticate:sanctum,App\Http\Middleware\EnsureTenantScope,App\Http\Middleware\RateLimitPerOrganization:api
DELETE	api/v1/ai-assistants/{ai_assistant}	ai-assistants.destroy	App\Http\Controllers\Api\AiAssistantController@destroy	api,Illuminate\Auth\Middleware\Authenticate:sanctum,App\Http\Middleware\EnsureTenantScope,App\Http\Middleware\RateLimitPerOrganization:api
POST	api/v1/auth/login	auth.login	App\Http\Controllers\Api\AuthController@login	api,Illuminate\Routing\Middleware\ThrottleRequests:auth
POST	api/v1/auth/logout	auth.logout	App\Http\Controllers\Api\AuthController@logout	api,Illuminate\Auth\Middleware\Authenticate:sanctum
GET|HEAD	api/v1/auth/me	auth.me	App\Http\Controllers\Api\AuthController@me	api,Illuminate\Auth\Middleware\Authenticate:sanctum
POST	api/v1/auth/refresh	auth.refresh	App\Http\Controllers\Api\AuthController@refresh	api,Illuminate\Auth\Middleware\Authenticate:sanctum
POST	api/v1/auth/register	auth.register	App\Http\Controllers\Api\RegisterController@register	api,Illuminate\Routing\Middleware\ThrottleRequests:registration
GET|HEAD	api/v1/auth/register/validate	auth.register.validate	App\Http\Controllers\Api\RegisterController@validateRegistration	api
GET|HEAD	api/v1/auto-dialer-campaigns	auto-dialer-campaigns.index	App\Http\Controllers\AutoDialerCampaignController@index	api,Illuminate\Auth\Middleware\Authenticate:sanctum,App\Http\Middleware\EnsureTenantScope
POST	api/v1/auto-dialer-campaigns	auto-dialer-campaigns.store	App\Http\Controllers\AutoDialerCampaignController@store	api,Illuminate\Auth\Middleware\Authenticate:sanctum,App\Http\Middleware\EnsureTenantScope
GET|HEAD	api/v1/auto-dialer-campaigns/available-caller-ids	auto-dialer-campaigns.available-caller-ids	App\Http\Controllers\AutoDialerCampaignController@getAvailableCallerIds	api,Illuminate\Auth\Middleware\Authenticate:sanctum,App\Http\Middleware\EnsureTenantScope
GET|HEAD	api/v1/auto-dialer-campaigns/lists	distribution-lists.index	App\Http\Controllers\DistributionListController@index	api,Illuminate\Auth\Middleware\Authenticate:sanctum,App\Http\Middleware\EnsureTenantScope
POST	api/v1/auto-dialer-campaigns/lists	distribution-lists.store	App\Http\Controllers\DistributionListController@store	api,Illuminate\Auth\Middleware\Authenticate:sanctum,App\Http\Middleware\EnsureTenantScope
GET|HEAD	api/v1/auto-dialer-campaigns/lists/example-csv	distribution-lists.example	App\Http\Controllers\DistributionListController@downloadExample	api,Illuminate\Auth\Middleware\Authenticate:sanctum,App\Http\Middleware\EnsureTenantScope
GET|HEAD	api/v1/auto-dialer-campaigns/lists/upload-progress/{jobId}	distribution-lists.progress	App\Http\Controllers\DistributionListController@uploadProgress	api,Illuminate\Auth\Middleware\Authenticate:sanctum,App\Http\Middleware\EnsureTenantScope
GET|HEAD	api/v1/auto-dialer-campaigns/lists/{list}	distribution-lists.show	App\Http\Controllers\DistributionListController@show	api,Illuminate\Auth\Middleware\Authenticate:sanctum,App\Http\Middleware\EnsureTenantScope
DELETE	api/v1/auto-dialer-campaigns/lists/{list}	distribution-lists.destroy	App\Http\Controllers\DistributionListController@destroy	api,Illuminate\Auth\Middleware\Authenticate:sanctum,App\Http\Middleware\EnsureTenantScope
PATCH	api/v1/auto-dialer-campaigns/lists/{list}/archive	distribution-lists.archive	App\Http\Controllers\DistributionListController@archive	api,Illuminate\Auth\Middleware\Authenticate:sanctum,App\Http\Middleware\EnsureTenantScope
POST	api/v1/auto-dialer-campaigns/lists/{list}/assign	distribution-lists.assign	App\Http\Controllers\DistributionListController@assignToCampaign	api,Illuminate\Auth\Middleware\Authenticate:sanctum,App\Http\Middleware\EnsureTenantScope
POST	api/v1/auto-dialer-campaigns/lists/{list}/copy	distribution-lists.copy	App\Http\Controllers\DistributionListController@copy	api,Illuminate\Auth\Middleware\Authenticate:sanctum,App\Http\Middleware\EnsureTenantScope
POST	api/v1/auto-dialer-campaigns/lists/{list}/destinations	distribution-lists.destinations.add	App\Http\Controllers\DistributionListController@addDestination	api,Illuminate\Auth\Middleware\Authenticate:sanctum,App\Http\Middleware\EnsureTenantScope
GET|HEAD	api/v1/auto-dialer-campaigns/lists/{list}/destinations	distribution-lists.destinations	App\Http\Controllers\DistributionListController@getDestinations	api,Illuminate\Auth\Middleware\Authenticate:sanctum,App\Http\Middleware\EnsureTenantScope
POST	api/v1/auto-dialer-campaigns/lists/{list}/destinations/batch	distribution-lists.destinations.batch	App\Http\Controllers\DistributionListController@addDestinationsBatch	api,Illuminate\Auth\Middleware\Authenticate:sanctum,App\Http\Middleware\EnsureTenantScope
POST	api/v1/auto-dialer-campaigns/lists/{list}/destinations/bulk-reset-dial-attempts	distribution-lists.destinations.bulk-reset-dial-attempts	App\Http\Controllers\DistributionListController@bulkResetDialAttempts	api,Illuminate\Auth\Middleware\Authenticate:sanctum,App\Http\Middleware\EnsureTenantScope
POST	api/v1/auto-dialer-campaigns/lists/{list}/destinations/{destinationId}/reset-dial-attempts	distribution-lists.destinations.reset-dial-attempts	App\Http\Controllers\DistributionListController@resetDialAttempts	api,Illuminate\Auth\Middleware\Authenticate:sanctum,App\Http\Middleware\EnsureTenantScope
GET|HEAD	api/v1/auto-dialer-campaigns/lists/{list}/download	distribution-lists.download	App\Http\Controllers\DistributionListController@download	api,Illuminate\Auth\Middleware\Authenticate:sanctum,App\Http\Middleware\EnsureTenantScope
POST	api/v1/auto-dialer-campaigns/lists/{list}/reset-pending-destinations	distribution-lists.reset-pending-destinations	App\Http\Controllers\DistributionListController@resetPendingDestinations	api,Illuminate\Auth\Middleware\Authenticate:sanctum,App\Http\Middleware\EnsureTenantScope
POST	api/v1/auto-dialer-campaigns/lists/{list}/unassign	distribution-lists.unassign	App\Http\Controllers\DistributionListController@unassignFromCampaign	api,Illuminate\Auth\Middleware\Authenticate:sanctum,App\Http\Middleware\EnsureTenantScope
